page	creation_year	num_links	de	en	es	fr	ja	rc
Wikipedia:Wie gute Artikel aussehen	2005	5	Wikipedia:Wie gute Artikel aussehen	Wikipedia:The perfect article	Wikipedia:El artículo perfecto	Wikipédia:L'article parfait	Wikipedia:完璧な記事	198.0
Wikipedia:Wie schreibe ich gute Artikel	2002	5	Wikipedia:Wie schreibe ich gute Artikel	Wikipedia:Writing better articles	Ayuda:Cómo escribir mejores artículos	Aide:Comment rédiger un bon article	Wikipedia:素晴らしい記事を書くには	199.0
Wikipedia:Wikipedia ist kein Wörterbuch	2003	5	Wikipedia:Wikipedia ist kein Wörterbuch	Wikipedia:Wikipedia is not a dictionary	Wikipedia:Wikipedia no es un diccionario	Wikipédia:Wikipédia n'est pas un dictionnaire	Wikipedia:ウィキペディアは辞書ではありません	203.0
Wikipedia:Wikiquette	2003	5	Wikipedia:Wikiquette	Wikipedia:Etiquette	Wikipedia:Etiqueta	Wikipédia:Étiquette	Wikipedia:エチケット	204.0
Wikipedia:Zitierregeln	2003	5	Wikipedia:Zitierregeln	Wikipedia:Citing sources	Wikipedia:Referencias	Wikipédia:Citez vos sources	Wikipedia:出典を明記する	207.0
Wikipedia:Administrators	2001	5	Wikipedia:Administratoren	Wikipedia:Administrators	Wikipedia:Bibliotecarios	Wikipédia:Administrateur	Wikipedia:管理者	24.0
Wikipedia:Autobiography	2003	5	Wikipedia:Interessenkonflikt#Eigendarstellung	Wikipedia:Autobiography	Wikipedia:Autobiografía	Wikipédia:Autobiographie	Wikipedia:自分自身の記事	221.0
Wikipedia:Blocking policy	2003	5	Wikipedia:Benutzersperrung	Wikipedia:Blocking policy	Wikipedia:Propuesta de política de bloqueo	Wikipédia:Blocage en écriture	Wikipedia:投稿ブロックの方針	44.0
Wikipedia:CheckUser	2006	5	Wikipedia:Checkuser	Wikipedia:CheckUser	Wikipedia:Checkusers	Wikipédia:Vérificateur d'adresses IP	Wikipedia:チェックユーザーの方針	51.0
Wikipedia:Criteria for speedy deletion	2004	5	Wikipedia:Schnelllöschantrag	Wikipedia:Criteria for speedy deletion	Wikipedia:Criterios para el borrado rápido	Wikipédia:Critères de suppression immédiate	Wikipedia:即時削除の方針	165.0
Wikipedia:Deletion policy	2001	5	Wikipedia:Löschregeln	Wikipedia:Deletion policy	Wikipedia:Política de borrado	Wikipédia:Pages à supprimer/Aide	Wikipedia:削除の方針	94.0
Wikipedia:Edit filter	2008	5	Wikipedia:Bearbeitungsfilter	Wikipedia:Edit filter	Wikipedia:Filtro de ediciones	Wikipédia:AbuseFilter	Wikipedia:編集フィルター	39.0
Wikipedia:Edit warring	2003	5	Wikipedia:Edit-War	Wikipedia:Edit warring	Wikipedia:Guerra de ediciones	Wikipédia:Guerre d'édition	Wikipedia:編集合戦	56.0
Wikipedia:IP block exemption	2008	5	Wikipedia:IP-Sperre-Ausnahme	Wikipedia:IP block exemption	Wikipedia:Exentos de bloqueo a IP	Wikipédia:Exemption de blocage d'IP	Wikipedia:IPブロック適用除外	75.0
Wikipedia:Image use policy	2002	5	Wikipedia:Bildrechte	Wikipedia:Image use policy	Wikipedia:Política de uso de imágenes	Wikipédia:Conventions d'utilisation des images	Wikipedia:画像利用の方針	48.0
Wikipedia:Interface administrators	2018	5	Wikipedia:Benutzeroberflächenadministratoren	Wikipedia:Interface administrators	Wikipedia:Administradores de interfaz	Wikipédia:Administrateur d'interface	Wikipedia:インターフェース管理者	43.0
Wikipedia:Manual of Style/Biography	2003	5	Wikipedia:Formatvorlage Biografie	Wikipedia:Manual of Style/Biography	Wikipedia:Manual de estilo/Biografías	Projet:Biographie/Structure des articles	Wikipedia:スタイルマニュアル (人物伝)	62.0
Wikipedia:Manual of Style/Images	2004	5	Hilfe:Bilder	Wikipedia:Manual of Style/Images	Ayuda:Imágenes	Aide:Insérer une image	Help:画像の表示	2.0
Wikipedia:Manual of Style/Layout	2002	5	Wikipedia:Formatvorlage/Musterartikel	Wikipedia:Manual of Style/Layout	Wikipedia:Estructura de un artículo	Wikipédia:Conventions de plan	Wikipedia:スタイルマニュアル (レイアウト)	65.0
Wikipedia:Manual of Style/Self-references to avoid	2003	5	Wikipedia:Vermeide Selbstreferenzen	Wikipedia:Manual of Style/Self-references to avoid	Wikipedia:Evita las autorreferencias	Wikipédia:Mention de Wikipédia dans les articles	Wikipedia:ウィキペディアへの自己言及	190.0
Wikipedia:Manual of Style/Tables	2003	5	Wikipedia:Tabellen	Wikipedia:Manual of Style/Tables	Wikipedia:Sintaxis de tablas	Aide:Tableau	Wikipedia:スタイルマニュアル (表)	179.0
Wikipedia:Manual of Style/Words to watch	2010	5	Wikipedia:Vermeide hohle Phrasen	Wikipedia:Manual of Style/Words to watch	Wikipedia:Palabras a evitar	Wikipédia:Termes à utiliser avec précaution	Wikipedia:言葉を濁さない	192.0
Wikipedia:Notability (people)	2003	5	Wikipedia:Relevanzkriterien#Personen	Wikipedia:Notability (people)	Wikipedia:Criterio de relevancia en artículos biográficos	Wikipédia:Notoriété des personnes	Wikipedia:特筆性 (人物)	403.0
Wikipedia:Oversight	2006	5	Wikipedia:Oversight	Wikipedia:Oversight	Wikipedia:Supresores	Wikipédia:Masqueur de modifications	Wikipedia:オーバーサイトの方針	135.0
Wikipedia:Shortcut	2005	5	Wikipedia:Shortcuts	Wikipedia:Shortcut	Ayuda:Atajos	Aide:Raccourcis Wikipédia	Wikipedia:ショートカット	170.0
Wikipedia:Signatures	2002	5	Hilfe:Signatur	Wikipedia:Signatures	Wikipedia:Firma de usuario	Wikipédia:Signez vos messages	Wikipedia:署名	7.0
Wikipedia:Sockpuppetry	2004	5	Wikipedia:Sockenpuppe	Wikipedia:Sockpuppetry	Wikipedia:Usuarios títeres	Wikipédia:Faux-nez	Wikipedia:多重アカウント	171.0
Wikipedia:Spoiler	2001	5	Wikipedia:Spoilerwarnung	Wikipedia:Spoiler	Wikipedia:Revelación de la trama	Wikipédia:Dévoile l'intrigue du récit	Wikipedia:ネタバレ	174.0
Wikipedia:Stub	2002	5	Wikipedia:Lückenhaft	Wikipedia:Stub	Wikipedia:Esbozo	Aide:Ébauche	Wikipedia:スタブ	95.0
Wikipedia:User pages	2003	5	Hilfe:Benutzernamensraum	Wikipedia:User pages	Wikipedia:Página de usuario	Aide:Page utilisateur	Wikipedia:利用者ページ	1.0
Wikipedia:Vandalism	2002	5	Wikipedia:Vandalismus	Wikipedia:Vandalism	Wikipedia:Vandalismo	Wikipédia:Vandalisme	Wikipedia:荒らし	186.0
Wikipedia:Volunteer Response Team	2006	5	Wikipedia:Support-Team	Wikipedia:Volunteer Response Team	Wikipedia:OTRS	Wikipédia:OTRS	Wikipedia:OTRS	177.0
Wikipedia:Burócratas	2004	5	Wikipedia:Bürokraten	Wikipedia:Bureaucrats	Wikipedia:Burócratas	Wikipédia:Bureaucrate	Wikipedia:ビューロクラット	50.0
Wikipedia:Candidaturas a bibliotecario	2004	5	Wikipedia:Kandidaturen	Wikipedia:Requests for adminship	Wikipedia:Candidaturas a bibliotecario	Wikipédia:Candidature au statut d'administrateur	Wikipedia:管理者への立候補	82.0
Wikipedia:Consultas de borrado mediante argumentación	2007	5	Wikipedia:Löschkandidaten	Wikipedia:Articles for deletion	Wikipedia:Consultas de borrado mediante argumentación	Wikipédia:Pages à supprimer	Wikipedia:削除依頼	93.0
Wikipedia:Cuenta de propósito particular	2006	5	Wikipedia:Einzweck-Konto	Wikipedia:Single-purpose account	Wikipedia:Cuenta de propósito particular	Wikipédia:Compte à objet unique	Wikipedia:単一目的アカウント	58.0
Wikipedia:Documentación de las plantillas de mantenimiento	2008	5	Hilfe:Vorlagendokumentation	Wikipedia:Template documentation	Wikipedia:Documentación de las plantillas de mantenimiento	Aide:Documentation de modèle	Help:テンプレートの説明文	11.0
Wikipedia:Esta página está protegida	2004	5	Wikipedia:Geschützte Seiten	Wikipedia:Protected page	Wikipedia:Esta página está protegida	Wikipédia:Page protégée	Wikipedia:保護されたページ	69.0
Wikipedia:Plantillas de navegación	2011	5	Hilfe:Navigationsleisten	Wikipedia:Navigation template	Wikipedia:Plantillas de navegación	Aide:Palette de navigation	Wikipedia:ナビゲーションテンプレート	4.0
Wikipedia:Páginas de discusión	2002	5	Hilfe:Diskussionsseiten	Help:Talk pages	Wikipedia:Páginas de discusión	Aide:Discussion	Help:ノートページ	3.0
Wikipedia:Semiprotección de páginas	2005	5	Wikipedia:Pressemitteilungen/FAQ Semi-protection policy	Wikipedia:Rough guide to semi-protection	Wikipedia:Semiprotección de páginas	Wikipédia:Semi-protection	Wikipedia:半保護の方針	137.0
Wikipedia:Votaciones	2004	5	Wikipedia:Meinungsbilder	Wikipedia:Voting	Wikipedia:Votaciones	Wikipédia:Prise de décision	Wikipedia:投票	96.0
Wikipédia:Bot	2002	5	Wikipedia:Bots	Wikipedia:Bots	Wikipedia:Bot	Wikipédia:Bot	Wikipedia:Bot	49.0
Wikipédia:Discuter au lieu de voter	2006	5	Wikipedia:Nimm nicht an Abstimmungen teil	Wikipedia:Polling is not a substitute for discussion	Wikipedia:Las encuestas son malvadas	Wikipédia:Discuter au lieu de voter	Wikipedia:投票は議論の代用とはならない	133.0
Wikipedia:ページの分割と統合	2004	5	Hilfe:Artikel zusammenführen	Wikipedia:Merging	Wikipedia:Fusiones	Aide:Fusion	Wikipedia:ページの分割と統合	0.0
Wikipedia:ページの改名	2003	5	Hilfe:Seite verschieben	Wikipedia:Moving a page	Ayuda:Cómo cambiar el nombre de una página	Aide:Comment renommer une page	Wikipedia:ページの改名	5.0
