Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,
en,Wikipedia:IP block exemption,363,186,48,4,39,,en Wikipedia:Manual of Style/Snooker
en,Wikipedia:Ignore all rules,2626,870,78,4,69,,en Wikipedia:Manual of Style/Stringed instrument tunings
en,Wikipedia:Image use policy,1886,841,76,4,67,,en Wikipedia:Miscellany for deletion/Speedy redirect
en,Wikipedia:Interface administrators,202,59,60,4,51,,en Wikipedia:Naming conventions (Armenian)
en,Wikipedia:Manual of Style,13720,3296,60,4,51,,en Wikipedia:Naming conventions (Australian roads)
en,Wikipedia:Manual of Style/Biography,2315,817,26,4,17,,en Wikipedia:Naming conventions (Burmese)
en,Wikipedia:Manual of Style/Images,1635,691,40,4,31,,en Wikipedia:Naming conventions (Canadian stations)
en,Wikipedia:Manual of Style/Layout,2269,724,38,4,29,,en Wikipedia:Naming conventions (Football in Australia)
en,Wikipedia:Manual of Style/Self-references to avoid,450,218,11,4,,,en Wikipedia:Naming conventions (Irish stations)
en,Wikipedia:Manual of Style/Tables,555,242,22,4,13,,en Wikipedia:Naming conventions (Latter Day Saints)
en,Wikipedia:Manual of Style/Words to watch,1914,589,45,4,36,,en Wikipedia:Naming conventions (Macedonia)
en,Wikipedia:Manual of Style/Writing about fiction,1085,411,17,4,8,,en Wikipedia:Naming conventions (Mongolian)
en,Wikipedia:Neutral point of view,5418,2091,117,4,108,,en Wikipedia:Naming conventions (New Zealand)
en,Wikipedia:No original research,4157,1340,76,4,67,,en Wikipedia:Naming conventions (Norse mythology)
en,Wikipedia:No personal attacks,2170,1110,71,4,62,,en Wikipedia:Naming conventions (U.S. state and territory highways)
en,Wikipedia:Notability,2627,800,92,4,83,,en Wikipedia:Naming conventions (UK Parliament constituencies)
en,Wikipedia:Notability (people),2196,1011,47,4,38,,en Wikipedia:Naming conventions (UK stations)
en,Wikipedia:Oversight,889,320,39,4,30,,en Wikipedia:Naming conventions (US stations)
en,Wikipedia:Ownership of content,1010,516,44,4,35,,en Wikipedia:Naming conventions (West Bank)
en,Wikipedia:Please do not bite the newcomers,1095,734,62,4,53,,en Wikipedia:Naming conventions (ancient Romans)
en,Wikipedia:Policies and guidelines,3450,1452,101,4,92,,en Wikipedia:Naming conventions (baseball players)
en,Wikipedia:Protection policy,2719,1277,87,4,78,,en Wikipedia:Naming conventions (broadcasting)
en,Wikipedia:Shortcut,1120,580,81,4,72,,en Wikipedia:Naming conventions (clergy)
en,Wikipedia:Signatures,1698,940,91,4,82,,en Wikipedia:Naming conventions (country-specific topics)
en,Wikipedia:Sockpuppetry,2599,1115,80,4,71,,en Wikipedia:Naming conventions (definite or indefinite article at beginning of name)
en,Wikipedia:Spoiler,1846,767,37,4,28,,en Wikipedia:Naming conventions (ethnicities and tribes)
en,Wikipedia:Stub,1939,1097,137,4,128,,en Wikipedia:Naming conventions (government and legislation)
en,Wikipedia:User pages,2750,1364,93,4,84,,en Wikipedia:Naming conventions (ice hockey)
en,Wikipedia:Vandalism,4594,2340,99,4,90,,en Wikipedia:Naming conventions (languages)
en,Wikipedia:Verifiability,6718,2194,90,4,81,,en Wikipedia:Naming conventions (lists)
en,Wikipedia:Volunteer Response Team,456,170,39,4,30,,en Wikipedia:Naming conventions (manuscripts)
en,Wikipedia:What Wikipedia is not,6382,2552,116,4,107,,en Wikipedia:Naming conventions (numbers and dates)
en,Wikipedia:Wikipedia is not a dictionary,652,322,33,4,24,,en Wikipedia:Naming conventions (operas)
es,Wikipedia:Administradores de interfaz,37,19,60,4,51,es Wikipedia:Administradores de interfaz,en Wikipedia:Naming conventions (places in Bangladesh)
es,Wikipedia:Artículos sin relevancia aparente,208,128,92,4,83,es Wikipedia:Artículos sin relevancia aparente,en Wikipedia:Naming conventions (political parties)
es,Wikipedia:Autobiografía,75,49,47,4,38,es Wikipedia:Autobiografía,en Wikipedia:Naming conventions (sportspeople)
es,Wikipedia:Bibliotecarios,1410,370,249,4,240,es Wikipedia:Bibliotecarios,en Wikipedia:Naming conventions (stations in Poland)
es,Wikipedia:Biografías de personas vivas,171,72,67,4,58,es Wikipedia:Biografías de personas vivas,en Wikipedia:Naming conventions (writing systems)
es,Wikipedia:Burócratas,150,98,110,4,101,es Wikipedia:Burócratas,en Wikipedia:No 3D illustrations
es,Wikipedia:Candidaturas a bibliotecario,4000,432,137,4,128,es Wikipedia:Candidaturas a bibliotecario,en Wikipedia:Overcategorization/User categories
es,Wikipedia:Checkusers,230,101,58,4,49,es Wikipedia:Checkusers,en Wikipedia:People by year
es,Wikipedia:Consultas de borrado mediante argumentación,173,73,100,4,91,es Wikipedia:Consultas de borrado mediante argumentación,en Wikipedia:Reference desk/Guidelines
es,Wikipedia:Convenciones de títulos,616,290,97,4,88,es Wikipedia:Convenciones de títulos,en Wikipedia:Reference desk/Guidelines/Medical advice
es,Wikipedia:Criterios para el borrado rápido,296,129,81,4,72,es Wikipedia:Criterios para el borrado rápido,en Wikipedia:Scientific citation guidelines
es,Wikipedia:Cuenta de propósito particular,37,30,16,4,7,es Wikipedia:Cuenta de propósito particular,en Wikipedia:Spellchecking
es,Wikipedia:Derechos de autor,286,157,123,4,114,es Wikipedia:Derechos de autor,en Wikipedia:Television episodes
es,Wikipedia:Documentación de las plantillas de mantenimiento,76,32,54,4,45,es Wikipedia:Documentación de las plantillas de mantenimiento,en Wikipedia:WikiProject Trinidad and Tobago/Style guide
es,Wikipedia:Enlaces externos,242,126,54,4,45,es Wikipedia:Enlaces externos,en Wikipedia:Updating information
es,Wikipedia:Esbozo,434,263,137,4,128,es Wikipedia:Esbozo,en Wikipedia:User categories
es,Wikipedia:Esta página está protegida,131,89,28,4,19,es Wikipedia:Esta página está protegida,en Wikipedia:WikiProject Belgium/Alternate language names
es,Wikipedia:Estructura de un artículo,365,168,38,4,29,es Wikipedia:Estructura de un artículo,en Wikipedia:WikiProject Belgium/Brussels naming conventions
es,Wikipedia:Etiqueta,131,95,69,4,60,es Wikipedia:Etiqueta,"en Wikipedia:WikiProject Belgium/Castle, country house, château and kasteel naming conventions"
es,Wikipedia:Evita las autorreferencias,42,25,11,4,,es Wikipedia:Evita las autorreferencias,en Wikipedia:WikiProject College football/Naming conventions
es,Wikipedia:Exentos de bloqueo a IP,73,29,48,4,39,es Wikipedia:Exentos de bloqueo a IP,en Wikipedia:WikiProject Economics/Reliable sources and weight
es,Wikipedia:Firma de usuario,178,95,91,4,82,es Wikipedia:Firma de usuario,en Wikipedia:WikiProject Ireland/Ireland Category Norms
es,Wikipedia:Ignora las normas,104,68,78,4,69,es Wikipedia:Ignora las normas,en Wikipedia:WikiProject Mining/Style guide
es,Wikipedia:Lo que Wikipedia no es,767,373,116,4,107,es Wikipedia:Lo que Wikipedia no es,en Wikipedia:WikiProject Swiss municipalities/Article title conventions
es,Wikipedia:Los cinco pilares,226,111,128,4,119,es Wikipedia:Los cinco pilares,es Usuaria:Userbox mujer
es,Wikipedia:Manual de estilo,1791,483,109,4,100,es Wikipedia:Manual de estilo,es Usuario:Userbox/Documentación de userboxes
es,Wikipedia:Manual de estilo/Biografías,197,101,26,4,17,es Wikipedia:Manual de estilo/Biografías,es Wikipedia:Candidatos a artículos destacados/Información
es,Wikipedia:No hagas ataques personales,204,105,71,4,62,es Wikipedia:No hagas ataques personales,es Wikipedia:Contextualizar
es,Wikipedia:No morder a los novatos,244,121,62,4,53,es Wikipedia:No morder a los novatos,es Wikipedia:Documentación de las plantillas de aviso a usuario
es,Wikipedia:No sabotees Wikipedia para respaldar tus argumentos,111,64,46,4,37,es Wikipedia:No sabotees Wikipedia para respaldar tus argumentos,es Wikipedia:Información de soporte enciclopédico
es,Wikipedia:Plantillas de navegación,41,29,24,4,15,es Wikipedia:Plantillas de navegación,es Wikipedia:Plantillas de wikiproyectos
es,Wikipedia:Política de borrado,311,164,76,4,67,es Wikipedia:Política de borrado,es Wikipedia:Política de consultas
es,Wikipedia:Política de protección,120,93,87,4,78,es Wikipedia:Política de protección,es Wikipedia:Política de wikiproyectos
es,Wikipedia:Política de uso de imágenes,177,101,76,4,67,es Wikipedia:Política de uso de imágenes,es Wikipedia:Proceso de borrado
es,Wikipedia:Políticas y convenciones,254,147,101,4,92,es Wikipedia:Políticas y convenciones,es Wikipedia:Revalidación de bibliotecarios/Texto
es,Wikipedia:Presume buena fe,151,100,74,4,65,es Wikipedia:Presume buena fe,es Wikipedia:¿Tú o usted?
es,Wikipedia:Propiedad de los artículos,65,43,44,4,35,es Wikipedia:Propiedad de los artículos,de Portal:Antarktis/Konventionen
es,Wikipedia:Punto de vista neutral,352,196,117,4,108,es Wikipedia:Punto de vista neutral,de Portal:Bergbau/Namenskonventionen
es,Wikipedia:Página de usuario,230,117,93,4,84,es Wikipedia:Página de usuario,de Portal:Berge und Gebirge/Relevanzkriterien und Regeln
es,Wikipedia:Páginas de discusión,236,97,79,4,70,es Wikipedia:Páginas de discusión,de Portal:Hund/Leitlinien
es,Wikipedia:Referencias,693,272,102,4,93,es Wikipedia:Referencias,de Portal:Waffen/Namenskonventionen
es,Wikipedia:Revelación de la trama,129,93,37,4,28,es Wikipedia:Revelación de la trama,de Portal:Wirtschaft/Richtlinien
es,Wikipedia:Semiprotección de páginas,87,66,12,4,,es Wikipedia:Semiprotección de páginas,de Wikipedia:Allgemeinverständlichkeit
es,Wikipedia:Supresores,169,69,39,4,30,es Wikipedia:Supresores,de Wikipedia:Barrierefreiheit
es,Wikipedia:Sé valiente al editar páginas,219,135,79,4,70,es Wikipedia:Sé valiente al editar páginas,de Wikipedia:Belege/Recht
es,Wikipedia:Usuarios títeres,199,101,80,4,71,es Wikipedia:Usuarios títeres,de Wikipedia:Enzyklopädische Fotografie
es,Wikipedia:Vandalismo,545,282,99,4,90,es Wikipedia:Vandalismo,de Wikipedia:Fremdwortformatierung
es,Wikipedia:Verificabilidad,251,147,90,4,81,es Wikipedia:Verificabilidad,de Wikipedia:Koranzitate
es,Wikipedia:Votaciones,1853,372,47,4,38,es Wikipedia:Votaciones,de Wikipedia:Namensgebung biblische Namen
es,Wikipedia:Wikipedia no es un diccionario,77,61,33,4,24,es Wikipedia:Wikipedia no es un diccionario,de Wikipedia:Namenskonventionen/Abkürzungen
es,Wikipedia:Wikipedia no es una fuente primaria,361,219,76,4,67,es Wikipedia:Wikipedia no es una fuente primaria,de Wikipedia:Namenskonventionen/Albanische Eigennamen
de,Wikipedia:Artikel über lebende Personen,371,188,67,4,58,de Wikipedia:Artikel über lebende Personen,de Wikipedia:Namenskonventionen/Altgriechisch
de,Wikipedia:Begriffsklärung,2750,684,110,4,101,de Wikipedia:Begriffsklärung,de Wikipedia:Namenskonventionen/Britischer Adel
de,Wikipedia:Belege,1746,581,90,4,81,de Wikipedia:Belege,de Wikipedia:Namenskonventionen/Indien/Devanagari
de,Wikipedia:Bewahre immer einen kühlen Kopf,130,65,22,4,13,de Wikipedia:Bewahre immer einen kühlen Kopf,de Wikipedia:Namenskonventionen/Latein
de,Wikipedia:Eigentum an Artikeln,112,76,44,4,35,de Wikipedia:Eigentum an Artikeln,de Wikipedia:Namenskonventionen/Medizin
de,Wikipedia:Formatierung,526,300,109,4,100,de Wikipedia:Formatierung,de Wikipedia:Namenskonventionen/Rumänisch
de,Wikipedia:Geh von guten Absichten aus,263,135,74,4,65,de Wikipedia:Geh von guten Absichten aus,de Wikipedia:Namenskonventionen/Somali
de,Wikipedia:Geschützte Seiten,328,189,87,4,78,de Wikipedia:Geschützte Seiten,de Wikipedia:Namenskonventionen/Staaten
de,Wikipedia:Grundprinzipien,486,249,128,4,119,de Wikipedia:Grundprinzipien,de Wikipedia:Namenskonventionen/Tropische Wirbelstürme
de,Wikipedia:Ignoriere alle Regeln,279,179,78,4,69,de Wikipedia:Ignoriere alle Regeln,de Wikipedia:Namenskonventionen/Usbekisch
de,Wikipedia:Kategorien,916,413,82,4,73,de Wikipedia:Kategorien,de Wikipedia:Redaktion Film und Fernsehen/Richtlinien
de,Wikipedia:Keine Theoriefindung,428,188,76,4,67,de Wikipedia:Keine Theoriefindung,de Wikipedia:Redaktion Musik/Leitfaden Musikartikel/Musikalische Werke
de,Wikipedia:Keine persönlichen Angriffe,607,236,71,4,62,de Wikipedia:Keine persönlichen Angriffe,de Wikipedia:Redaktion Recht/Richtlinien
de,Wikipedia:Listen,269,141,30,4,21,de Wikipedia:Listen,de Wikipedia:Richtlinien Biologie
de,Wikipedia:Namenskonventionen,2256,865,97,4,88,de Wikipedia:Namenskonventionen,de Wikipedia:Richtlinien E-Sport
de,Wikipedia:Neutraler Standpunkt,1039,404,117,4,108,de Wikipedia:Neutraler Standpunkt,de Wikipedia:Richtlinien Physik
de,Wikipedia:Relevanzkriterien,4295,1347,92,4,83,de Wikipedia:Relevanzkriterien,de Wikipedia:Richtlinien Software
de,Wikipedia:Richtlinien,203,133,101,4,92,de Wikipedia:Richtlinien,de Wikipedia:Richtlinien Studentenverbindungen
de,Wikipedia:Richtlinien Fiktives,283,101,17,4,8,de Wikipedia:Richtlinien Fiktives,de Wikipedia:Richtlinien Südosteuropa
de,Wikipedia:Sei mutig,627,382,79,4,70,de Wikipedia:Sei mutig,de Wikipedia:Richtlinien Wirtschaft
de,"Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen",458,213,46,4,37,"de Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen",de Wikipedia:Spaltensatz
de,Wikipedia:Urheberrechte beachten,322,214,123,4,114,de Wikipedia:Urheberrechte beachten,de Wikipedia:Systematik
de,Wikipedia:Verhalten gegenüber Neulingen,172,97,62,4,53,de Wikipedia:Verhalten gegenüber Neulingen,de Wikipedia:Was ist relevant für aktuelle Ereignisse?
de,Wikipedia:Vermeide hohle Phrasen,117,56,45,4,36,de Wikipedia:Vermeide hohle Phrasen,de Wikipedia:Wie zitiert man Bibelstellen
de,Wikipedia:Was Wikipedia nicht ist,952,478,116,4,107,de Wikipedia:Was Wikipedia nicht ist,de Wikipedia:Wie zitiert man antike und mittelalterliche Autoren und Werke
de,Wikipedia:Weblinks,919,435,54,4,45,de Wikipedia:Weblinks,fr Aide:Signature
de,Wikipedia:Wie gute Artikel aussehen,322,171,30,4,21,de Wikipedia:Wie gute Artikel aussehen,fr Projet:Parcs de loisirs/Recommandations
de,Wikipedia:Wie schreibe ich gute Artikel,1853,763,40,4,31,de Wikipedia:Wie schreibe ich gute Artikel,fr Projet:Suisse/Admissibilité
de,Wikipedia:Wikipedia ist kein Wörterbuch,208,96,33,4,24,de Wikipedia:Wikipedia ist kein Wörterbuch,fr Projet:Tennis/Critères d'admissibilité
de,Wikipedia:Wikiquette,424,210,69,4,60,de Wikipedia:Wikiquette,fr Wikipédia:Accessibilité
de,Wikipedia:Zitierregeln,785,309,102,4,93,de Wikipedia:Zitierregeln,fr Wikipédia:Articles consacrés à la pornographie
fr,Wikipédia:AbuseFilter,32,21,38,4,29,fr Wikipédia:AbuseFilter,fr Wikipédia:Code de bonne conduite
fr,Wikipédia:Administrateur,1661,351,249,4,240,fr Wikipédia:Administrateur,fr Wikipédia:Contenu évasif
fr,Wikipédia:Biographie de personne vivante,301,100,67,4,58,fr Wikipédia:Biographie de personne vivante,fr Wikipédia:Contestation du statut de bureaucrate
fr,Wikipédia:Blocage en écriture,386,136,72,4,63,fr Wikipédia:Blocage en écriture,fr Wikipédia:Conventions sur les titres d'œuvres de musique classique
fr,Wikipédia:Bot,842,343,175,4,166,fr Wikipédia:Bot,fr Wikipédia:Conventions sur les titres de personnages de la mythologie grecque
fr,Wikipédia:Bureaucrate,351,156,113,4,104,fr Wikipédia:Bureaucrate,fr Wikipédia:Critère des deux ans
fr,Wikipédia:Ce que Wikipédia n'est pas,757,327,116,4,107,fr Wikipédia:Ce que Wikipédia n'est pas,fr Wikipédia:Critères d'admissibilité des articles
fr,Wikipédia:Citez vos sources,990,474,102,4,93,fr Wikipédia:Citez vos sources,fr Wikipédia:Dates
fr,Wikipédia:Conventions d'utilisation des images,385,175,76,4,67,fr Wikipédia:Conventions d'utilisation des images,fr Wikipédia:Guide contre l'anthropocentrisme
fr,Wikipédia:Conventions de plan,594,161,38,4,29,fr Wikipédia:Conventions de plan,fr Wikipédia:Guide pratique
fr,Wikipédia:Conventions de style,432,192,109,4,100,fr Wikipédia:Conventions de style,fr Wikipédia:Liens vers les portails
fr,Wikipédia:Conventions sur les catégories,117,59,80,4,71,fr Wikipédia:Conventions sur les catégories,fr Wikipédia:Limitez l'usage de la couleur dans les articles
fr,Wikipédia:Conventions sur les titres,809,323,97,4,88,fr Wikipédia:Conventions sur les titres,fr Wikipédia:Liste des critères spécifiques de notoriété
fr,Wikipédia:Critères de suppression immédiate,255,47,81,4,72,fr Wikipédia:Critères de suppression immédiate,fr Wikipédia:Notoriété des arts visuels
fr,Wikipédia:Discuter au lieu de voter,100,33,24,4,15,fr Wikipédia:Discuter au lieu de voter,fr Wikipédia:Notoriété des fanzines
fr,Wikipédia:Droit d'auteur,341,165,123,4,114,fr Wikipédia:Droit d'auteur,fr Wikipédia:Protection
fr,Wikipédia:Dévoile l'intrigue du récit,234,145,37,4,28,fr Wikipédia:Dévoile l'intrigue du récit,fr Wikipédia:Règles de savoir-vivre
fr,Wikipédia:Faux-nez,684,136,80,4,71,fr Wikipédia:Faux-nez,fr Wikipédia:Transcription des langues indiennes
fr,Wikipédia:Guerre d'édition,280,152,61,4,52,fr Wikipédia:Guerre d'édition,fr Wikipédia:Utilisation de données Wikidata dans les articles
fr,Wikipédia:Interprétation créative des règles,171,100,78,4,69,fr Wikipédia:Interprétation créative des règles,ja Wikipedia:アップロードされたファイルのライセンス
fr,Wikipédia:Liens externes,427,210,54,4,45,fr Wikipédia:Liens externes,ja Wikipedia:リダイレクト削除の方針
fr,Wikipédia:Masqueur de modifications,199,77,39,4,30,fr Wikipédia:Masqueur de modifications,ja Wikipedia:即時版指定削除の方針
fr,Wikipédia:N'hésitez pas !,223,123,79,4,70,fr Wikipédia:N'hésitez pas !,ja Wikipedia:各年のスタイルガイド
fr,Wikipédia:Ne mordez pas les nouveaux,133,89,62,4,53,fr Wikipédia:Ne mordez pas les nouveaux,ja Wikipedia:版指定削除の方針
fr,Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle,171,90,46,4,37,fr Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle,ja Wikipedia:編集フィルターのガイドライン
fr,Wikipédia:Neutralité de point de vue,606,284,117,4,108,fr Wikipédia:Neutralité de point de vue,ja Wikipedia:自著作物の持ち込み/削除依頼を出されたら
fr,Wikipédia:Notoriété,363,42,92,4,83,fr Wikipédia:Notoriété,ja Wikipedia:色の使用
fr,Wikipédia:Pas d'attaque personnelle,251,120,71,4,62,fr Wikipédia:Pas d'attaque personnelle,ja Wikipedia:著作権/2008年7月13日までの文書対象
fr,Wikipédia:Principes fondateurs,478,223,129,4,120,fr Wikipédia:Principes fondateurs,ja Wikipedia:著作権/履歴の保存
fr,Wikipédia:Règles et recommandations,460,228,101,4,92,fr Wikipédia:Règles et recommandations,ja Wikipedia:表記ガイド/放送関連および配信関連
fr,Wikipédia:Semi-protection,247,146,12,4,,fr Wikipédia:Semi-protection,ja Wikipedia:記事名の付け方/ヨーロッパ貴族の記事名
fr,Wikipédia:Supposez la bonne foi,119,60,74,4,65,fr Wikipédia:Supposez la bonne foi,ja Wikipedia:記事名の付け方/日本の皇族
fr,Wikipédia:Termes à utiliser avec précaution,318,92,45,4,36,fr Wikipédia:Termes à utiliser avec précaution,ja Wikipedia:関連作品
fr,Wikipédia:Travaux inédits,359,205,76,4,67,fr Wikipédia:Travaux inédits,ja プロジェクト:キリスト教/キリスト教の記事名と用語表記のガイドライン
fr,Wikipédia:Vandalisme,328,192,99,4,90,fr Wikipédia:Vandalisme,ja プロジェクト:フィクション/登場人物と設定の記述
fr,Wikipédia:Vérifiabilité,373,162,90,4,81,fr Wikipédia:Vérifiabilité,de Wikipedia:Literatur
fr,Wikipédia:Wikipédia n'est pas un dictionnaire,83,66,33,4,24,fr Wikipédia:Wikipédia n'est pas un dictionnaire,de Wikipedia:Meinungsbilder/Regelungen
fr,Wikipédia:Étiquette,44,15,69,4,60,fr Wikipédia:Étiquette,de Wikipedia:Namenskonventionen/Armenisch
ja,Wikipedia:Bot,296,142,175,4,166,ja Wikipedia:Bot,de Wikipedia:Namenskonventionen/Aserbaidschanisch
ja,Wikipedia:IPブロック適用除外,44,21,48,4,39,ja Wikipedia:IPブロック適用除外,de Wikipedia:Namenskonventionen/Georgisch
ja,Wikipedia:インターフェース管理者,22,7,60,4,51,ja Wikipedia:インターフェース管理者,de Wikipedia:Namenskonventionen/Hawaiisch
ja,Wikipedia:ウィキペディアは何ではないか,503,278,116,4,107,ja Wikipedia:ウィキペディアは何ではないか,de Wikipedia:Namenskonventionen/Indien/Bengalisch
ja,Wikipedia:ウィキペディアへの自己言及,57,36,11,4,,ja Wikipedia:ウィキペディアへの自己言及,de Wikipedia:Namenskonventionen/Indien/Tamilisch
ja,Wikipedia:エチケット,127,87,69,4,60,ja Wikipedia:エチケット,de Wikipedia:Richtlinien Geschichte
ja,Wikipedia:オーバーサイトの方針,34,14,39,4,30,ja Wikipedia:オーバーサイトの方針,de Wikipedia:Sei tapfer
ja,Wikipedia:カテゴリの方針,182,103,82,4,73,ja Wikipedia:カテゴリの方針,de Wikipedia:Stimmberechtigung
ja,Wikipedia:スタイルマニュアル,221,129,109,4,100,ja Wikipedia:スタイルマニュアル,de Wikipedia:Themenbereiche
ja,Wikipedia:スタイルマニュアル (フィクション関連),70,29,17,4,8,ja Wikipedia:スタイルマニュアル (フィクション関連),en Wikipedia:Arbitration Committee/CheckUser and Oversight
ja,Wikipedia:スタイルマニュアル (レイアウト),226,122,38,4,29,ja Wikipedia:スタイルマニュアル (レイアウト),en Wikipedia:As of
ja,Wikipedia:スタイルマニュアル (人物伝),167,101,26,4,17,ja Wikipedia:スタイルマニュアル (人物伝),en Wikipedia:Broad-concept article
ja,Wikipedia:スタブ,254,171,137,4,128,ja Wikipedia:スタブ,"en Wikipedia:Categorization/Ethnicity, gender, religion and sexuality"
ja,Wikipedia:チェックユーザーの方針,111,56,58,4,49,ja Wikipedia:チェックユーザーの方針,en Wikipedia:Deletion process
ja,Wikipedia:ネタバレ,209,115,37,4,28,ja Wikipedia:ネタバレ,en Wikipedia:Extended image syntax
ja,Wikipedia:ページの分割と統合,219,126,47,4,38,ja Wikipedia:ページの分割と統合,en Wikipedia:File mover
ja,Wikipedia:ページの改名,205,114,54,4,45,ja Wikipedia:ページの改名,en Wikipedia:File names
ja,Wikipedia:ページの編集は大胆に,114,73,79,4,70,ja Wikipedia:ページの編集は大胆に,en Wikipedia:Global rights policy
ja,Wikipedia:中立的な観点,239,125,117,4,108,ja Wikipedia:中立的な観点,en Wikipedia:In the news/Recurring items
ja,Wikipedia:五本の柱,145,63,129,4,120,ja Wikipedia:五本の柱,en Wikipedia:Linking to external harassment
ja,Wikipedia:保護の方針,178,92,87,4,78,ja Wikipedia:保護の方針,en Wikipedia:Logos
ja,Wikipedia:個人攻撃はしない,157,95,71,4,62,ja Wikipedia:個人攻撃はしない,en Wikipedia:Manual of Style/Article message boxes
ja,Wikipedia:出典を明記する,362,171,102,4,93,ja Wikipedia:出典を明記する,en Wikipedia:Manual of Style/Captions
ja,Wikipedia:利用者ページ,223,137,93,4,84,ja Wikipedia:利用者ページ,en Wikipedia:Manual of Style/China and Chinese-related articles
ja,Wikipedia:削除の方針,412,207,76,4,67,ja Wikipedia:削除の方針,en Wikipedia:Manual of Style/Computing (failed proposal)
ja,Wikipedia:半保護の方針,124,65,12,4,,ja Wikipedia:半保護の方針,en Wikipedia:Manual of Style/France and French-related articles
ja,Wikipedia:即時削除の方針,483,192,81,4,72,ja Wikipedia:即時削除の方針,en Wikipedia:Manual of Style/Hidden text
ja,Wikipedia:善意にとる,99,43,74,4,65,ja Wikipedia:善意にとる,en Wikipedia:Manual of Style/Infoboxes
ja,Wikipedia:外部リンク,142,72,54,4,45,ja Wikipedia:外部リンク,en Wikipedia:Manual of Style/Islam-related articles
ja,Wikipedia:多重アカウント,218,125,80,4,71,ja Wikipedia:多重アカウント,en Wikipedia:Manual of Style/Lists
ja,Wikipedia:存命人物の伝記,246,139,67,4,58,ja Wikipedia:存命人物の伝記,en Wikipedia:Manual of Style/Mathematics
ja,Wikipedia:投稿ブロックの方針,256,150,72,4,63,ja Wikipedia:投稿ブロックの方針,en Wikipedia:Manual of Style/Military history
ja,Wikipedia:新規参加者を苛めないでください,107,62,62,4,53,ja Wikipedia:新規参加者を苛めないでください,en Wikipedia:Manual of Style/Music samples
ja,Wikipedia:方針とガイドライン,359,156,101,4,92,ja Wikipedia:方針とガイドライン,en Wikipedia:Manual of Style/Philosophy
ja,Wikipedia:曖昧さ回避,429,246,110,4,101,ja Wikipedia:曖昧さ回避,en Wikipedia:Manual of Style/Pronunciation
ja,Wikipedia:検証可能性,230,113,90,4,81,ja Wikipedia:検証可能性,en Wikipedia:Manual of Style/Television
ja,Wikipedia:独立記事作成の目安,224,114,92,4,83,ja Wikipedia:独立記事作成の目安,en Wikipedia:Manual of Style/Titles
ja,Wikipedia:独自研究は載せない,183,92,76,4,67,ja Wikipedia:独自研究は載せない,en Wikipedia:Naming conventions (astronomical objects)
ja,Wikipedia:画像利用の方針,168,85,76,4,67,ja Wikipedia:画像利用の方針,en Wikipedia:Naming conventions (books)
ja,Wikipedia:管理者,491,157,249,4,240,ja Wikipedia:管理者,en Wikipedia:Naming conventions (capitalization)
ja,Wikipedia:署名,270,120,91,4,82,ja Wikipedia:署名,en Wikipedia:Naming conventions (chemistry)
