0	1
ja	Wikipedia:インターフェース管理者
ja	Wikipedia:ウィキペディアは何ではないか
ja	Wikipedia:ウィキペディアへの自己言及
ja	Wikipedia:エチケット
ja	Wikipedia:オーバーサイトの方針
ja	Wikipedia:カテゴリの方針
ja	Wikipedia:スタイルマニュアル
ja	Wikipedia:スタイルマニュアル (フィクション関連)
ja	Wikipedia:スタイルマニュアル (レイアウト)
ja	Wikipedia:スタイルマニュアル (人物伝)
ja	Wikipedia:スタブ
ja	Wikipedia:チェックユーザーの方針
ja	Wikipedia:ネタバレ
ja	Wikipedia:ページの分割と統合
ja	Wikipedia:ページの改名
ja	Wikipedia:ページの編集は大胆に
ja	Wikipedia:中立的な観点
ja	Wikipedia:五本の柱
ja	Wikipedia:保護の方針
ja	Wikipedia:個人攻撃はしない
ja	Wikipedia:出典を明記する
ja	Wikipedia:利用者ページ
ja	Wikipedia:削除の方針
ja	Wikipedia:半保護の方針
ja	Wikipedia:即時削除の方針
ja	Wikipedia:善意にとる
ja	Wikipedia:外部リンク
ja	Wikipedia:多重アカウント
ja	Wikipedia:存命人物の伝記
ja	Wikipedia:投稿ブロックの方針
ja	Wikipedia:新規参加者を苛めないでください
ja	Wikipedia:方針とガイドライン
ja	Wikipedia:曖昧さ回避
ja	Wikipedia:検証可能性
ja	Wikipedia:独立記事作成の目安
ja	Wikipedia:独自研究は載せない
ja	Wikipedia:画像利用の方針
ja	Wikipedia:管理者
ja	Wikipedia:署名
ja	Wikipedia:腕ずくで解決しようとしない
ja	Wikipedia:自分自身の記事
ja	Wikipedia:荒らし
ja	Wikipedia:著作権
ja	Wikipedia:言葉を濁さない
ja	Wikipedia:記事の所有権
ja	Wikipedia:記事名の付け方
